start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,mi,0.2715,-0.0147,18.469387755102044
2017-03-01,2017-03-31,16,1,10,10,mi,-0.212,-0.0255,-8.313725490196079
2017-04-03,2017-04-28,16,1,10,10,mi,-0.0691,-0.0131,-5.274809160305343
2017-05-01,2017-05-31,16,1,15,10,mi,0.1617,-0.0221,7.316742081447964
2017-06-01,2017-06-30,16,1,10,10,mi,0.0601,-0.0189,3.17989417989418
2017-07-03,2017-07-31,16,1,10,10,mi,0.3076,-0.0306,10.052287581699346
2017-08-01,2017-08-31,16,1,10,10,mi,-0.2392,-0.0384,-6.229166666666667
2017-09-01,2017-09-29,16,1,10,10,mi,0.1424,-0.0109,13.064220183486238
2017-10-02,2017-10-31,16,1,10,10,mi,0.1606,-0.0212,7.5754716981132075
2017-11-01,2017-11-30,16,1,10,10,mi,0.2243,-0.0252,8.90079365079365
2017-12-01,2017-12-29,16,1,10,10,mi,0.1209,-0.0102,11.852941176470587
2018-01-02,2018-01-31,16,1,10,10,mi,0.4977,-0.0304,16.371710526315788
2018-02-01,2018-02-28,16,1,10,10,mi,-0.5247,-0.0666,-7.878378378378378
2018-03-01,2018-03-29,16,1,10,10,mi,0.0041,-0.0548,0.07481751824817519
2018-04-02,2018-04-30,16,1,10,10,mi,0.9612,-0.0209,45.990430622009576
2018-05-01,2018-05-31,16,1,10,10,mi,0.3318,-0.0289,11.480968858131488
2018-06-01,2018-06-29,16,1,10,10,mi,0.1139,-0.0347,3.282420749279539
2018-07-02,2018-07-31,16,1,10,10,mi,0.181,-0.0294,6.156462585034014
2018-08-01,2018-08-31,16,1,10,10,mi,0.1158,-0.032,3.61875
2018-09-04,2018-09-28,16,1,10,10,mi,0.257,-0.0114,22.54385964912281
2018-10-01,2018-10-31,16,1,10,10,mi,-0.5984,-0.1003,-5.966101694915254
2018-11-01,2018-11-30,16,1,10,10,mi,1.0281,-0.0395,26.02784810126582
2018-12-03,2018-12-31,16,1,10,10,mi,-0.7409,-0.1482,-4.9993252361673415
2019-01-02,2019-01-31,16,1,15,10,mi,3.1655,-0.0186,170.18817204301078
2019-02-01,2019-02-28,16,1,15,10,,-0.0353,-0.035,-1.0085714285714285
2019-03-01,2019-03-29,16,1,10,10,mi,0.2597,-0.0272,9.547794117647058
2019-04-01,2019-04-30,16,1,10,10,mi,-0.1841,-0.0281,-6.551601423487545
2019-05-01,2019-05-31,16,1,10,10,mi,-0.6166,-0.0851,-7.245593419506464
2019-06-03,2019-06-28,16,1,10,10,mi,2.1627,-0.0167,129.50299401197606
2019-07-01,2019-07-31,16,1,10,10,mi,-0.0181,-0.0151,-1.1986754966887418
2019-08-01,2019-08-30,16,1,10,10,mi,-0.2223,-0.0436,-5.098623853211009
2019-09-03,2019-09-30,16,1,10,10,mi,1.1958,-0.0072,166.08333333333334
2019-10-01,2019-10-31,16,1,10,10,mi,0.6423,-0.0267,24.056179775280896
2019-11-01,2019-11-29,16,1,15,10,mi,0.1205,-0.0144,8.368055555555555
2019-12-02,2019-12-31,16,1,15,10,mi,0.704,-0.014,50.285714285714285
2020-01-02,2020-01-31,16,1,15,10,mi,-0.2115,-0.0304,-6.957236842105263
2020-02-03,2020-02-28,16,1,10,10,mi,-0.66,-0.1383,-4.772234273318872
2020-03-02,2020-03-31,16,1,10,10,mi,-0.9457,-0.3144,-3.00795165394402
2020-04-01,2020-04-30,16,1,10,10,,4.4828,-0.0934,47.99571734475375
2020-05-01,2020-05-29,16,1,15,10,,4.765,-0.0426,111.8544600938967
2020-06-01,2020-06-30,17,1,10,10,mi,0.015,-0.0947,0.1583949313621964
2020-07-01,2020-07-31,17,1,10,10,mi,0.224,-0.0419,5.3460620525059666
2020-08-03,2020-08-31,17,1,10,10,mi,0.209,-0.042,4.976190476190475
2020-09-01,2020-09-30,16,1,15,10,mi,-0.4047,-0.0687,-5.890829694323145
2020-10-01,2020-10-30,16,1,10,10,mi,-0.057,-0.0734,-0.7765667574931879
2020-11-02,2020-11-30,16,1,15,10,mi,3.6962,-0.0208,177.7019230769231
2020-12-01,2020-12-31,16,1,15,10,,0.5103,-0.0132,38.65909090909091
2021-01-04,2021-01-29,16,1,15,10,,0.1406,-0.0358,3.927374301675978
2021-02-01,2021-02-26,16,1,15,10,mi,0.1669,-0.0486,3.434156378600823
2021-03-01,2021-03-31,16,1,15,10,,1.0078,-0.0242,41.64462809917356
2021-04-01,2021-04-30,17,1,10,10,mi,0.877,-0.0102,85.98039215686273
2021-05-03,2021-05-28,17,1,10,10,mi,0.0571,-0.0379,1.5065963060686014
2021-06-01,2021-06-30,16,1,15,10,,-0.3609,-0.0635,-5.683464566929134
2021-07-01,2021-07-30,16,1,10,10,mi,0.295,-0.0307,9.609120521172638
